phase,epoch,train_loss,train_acc,val_loss,val_acc
2,1,2.976751992702484,0.49875,0.6685668740953717,0.78
2,2,0.42150746524333954,0.8425,0.26425033594880787,1.0
2,3,0.16743027806282043,1.0,0.12229096995932716,1.0
2,4,0.10211427360773087,1.0,0.08480689142431531,1.0
2,5,0.07288929611444474,1.0,0.061635679432324,1.0
2,6,0.05376336738467216,1.0,0.046573670847075324,1.0
2,7,0.041704389154911044,1.0,0.037236886365073066,1.0
2,8,0.03302583910524845,1.0,0.02951710165611335,1.0
2,9,0.02696351058781147,1.0,0.02481862955859729,1.0
2,10,0.022147178053855895,1.0,0.020477840144719397,1.0
2,11,0.018566011041402816,1.0,0.01711989220763956,1.0
2,12,0.015818949453532696,1.0,0.014696517294006688,1.0
2,13,0.013658530823886395,1.0,0.01272882055491209,1.0
2,14,0.011975026875734329,1.0,0.011245798851762499,1.0
2,15,0.010532616414129734,1.0,0.009934794423835618,1.0
2,16,0.009312613680958749,1.0,0.008772431872785091,1.0
2,17,0.00832445576786995,1.0,0.007865674261535918,1.0
2,18,0.007473522499203682,1.0,0.007197090823735509,1.0
2,19,0.006735990103334188,1.0,0.0064069959335029125,1.0
2,20,0.006108579188585281,1.0,0.005866107464368854,1.0
2,21,0.005573079194873571,1.0,0.0053281466077481,1.0
2,22,0.005093064848333597,1.0,0.004905054478773049,1.0
2,23,0.004678828883916139,1.0,0.004496965823428971,1.0
2,24,0.004308862965553999,1.0,0.004154934148703303,1.0
2,25,0.003980001294985413,1.0,0.003836042280974133,1.0
2,26,0.0036847901437431574,1.0,0.003557745832949877,1.0
2,27,0.003427342306822538,1.0,0.0033062133339366744,1.0
2,28,0.003192348387092352,1.0,0.003087633622011968,1.0
2,29,0.00298692736774683,1.0,0.002894644858315587,1.0
2,30,0.002785513298586011,1.0,0.002699236252478191,1.0
2,31,0.002607840383425355,1.0,0.002534873118357999,1.0
2,32,0.002448369339108467,1.0,0.002380102773063949,1.0
2,33,0.0023040196113288404,1.0,0.0022525026995156494,1.0
2,34,0.0021715442184358836,1.0,0.002111327734642795,1.0
2,35,0.0020500615518540145,1.0,0.0019953157420137097,1.0
2,36,0.001939301872625947,1.0,0.0018957076161833747,1.0
2,37,0.0018334453646093607,1.0,0.001796194734717054,1.0
2,38,0.0017355043580755591,1.0,0.0016933904594874807,1.0
2,39,0.0016474830731749534,1.0,0.0016150063602253795,1.0
2,40,0.0015647100610658527,1.0,0.0015282979501145227,1.0
2,41,0.0014876994863152503,1.0,0.0014597306393885187,1.0
2,42,0.0014157974580302835,1.0,0.0013867124382938658,1.0
2,43,0.0013536025211215018,1.0,0.0013290490356406995,1.0
2,44,0.0012867341144010426,1.0,0.0012610281285430705,1.0
2,45,0.0012287849420681595,1.0,0.0012100111260744078,1.0
2,46,0.0011748091783374548,1.0,0.0011538885966209428,1.0
2,47,0.0011241044756025076,1.0,0.00110417085566691,1.0
2,48,0.0010769472364336253,1.0,0.001055544358678162,1.0
2,49,0.001029548323713243,1.0,0.0010141565165083324,1.0
2,50,0.0009874654235318304,1.0,0.0009738117556220718,1.0
