phase,epoch,train_loss,train_acc,val_loss,val_acc
1,1,0.2726905579119921,0.89875,0.012262909673154354,1.0
1,2,0.0054197094216942784,1.0,0.003030979573460562,1.0
1,3,0.002501292983070016,1.0,0.0021792895692799774,1.0
1,4,0.0019989531813189385,1.0,0.0018204653835190193,1.0
1,5,0.0016876092087477446,1.0,0.0015498371129589422,1.0
1,6,0.0014458371931686997,1.0,0.0013300174281799368,1.0
1,7,0.0012414449267089368,1.0,0.001149732669416283,1.0
1,8,0.00107802948448807,1.0,0.0010033294425479003,1.0
1,9,0.0009447312541306018,1.0,0.0008823431313170918,1.0
1,10,0.0008333584503270686,1.0,0.0007817383572858359,1.0
1,11,0.0007409792416729033,1.0,0.0006972512014077178,1.0
1,12,0.0006622352497652174,1.0,0.0006256248619008277,1.0
1,13,0.0005977861490100622,1.0,0.0005644736728364867,1.0
1,14,0.0005403663637116551,1.0,0.0005121513469410795,1.0
1,15,0.0004903137974906713,1.0,0.0004666479570525033,1.0
1,16,0.0004478459560777992,1.0,0.00042740601929835975,1.0
1,17,0.00041051319683901963,1.0,0.0003925977840221354,1.0
1,18,0.0003778592043090612,1.0,0.00036212959925511053,1.0
1,19,0.00034915084601379933,1.0,0.0003351832399078246,1.0
1,20,0.00032342666876502337,1.0,0.0003110417996400169,1.0
1,21,0.00030065606581047177,1.0,0.0002895448124036193,1.0
1,22,0.00028033985290676355,1.0,0.00027017028852632005,1.0
1,23,0.0002617693552747369,1.0,0.00025282128314886777,1.0
1,24,0.00024529200105462225,1.0,0.00023698800526160215,1.0
1,25,0.0002301096875453368,1.0,0.00022266114787531218,1.0
1,26,0.0002164181531406939,1.0,0.0002095877321802878,1.0
1,27,0.0002039194799726829,1.0,0.00019768784321578487,1.0
1,28,0.00019241080328356476,1.0,0.00018674987326708755,1.0
1,29,0.0001819823944242671,1.0,0.00017670194834603796,1.0
1,30,0.0001722687401343137,1.0,0.00016746642982720265,1.0
1,31,0.00016346419928595424,1.0,0.00015896666653653874,1.0
1,32,0.00015530446427874266,1.0,0.0001510346815588751,1.0
1,33,0.0001474980334751308,1.0,0.00014368522014202817,1.0
1,34,0.0001404534711036831,1.0,0.00013692316341413452,1.0
1,35,0.00013386047852691262,1.0,0.0001305569915400286,1.0
1,36,0.00012774212984368206,1.0,0.00012465901402590265,1.0
1,37,0.00012202139711007475,1.0,0.00011913402392695258,1.0
1,38,0.00011668027320411057,1.0,0.00011397723054480074,1.0
1,39,0.00011175792431458831,1.0,0.0001091769289424909,1.0
1,40,0.00010703583422582596,1.0,0.00010466663037992216,1.0
1,41,0.00010265326971421019,1.0,0.00010045055803077827,1.0
1,42,9.855421754764393e-05,1.0,9.6490431003206e-05,1.0
1,43,9.469072072533891e-05,1.0,9.277028896446739e-05,1.0
1,44,9.112938772886991e-05,1.0,8.92544786828304e-05,1.0
1,45,8.767515158979222e-05,1.0,8.593180142010428e-05,1.0
1,46,8.442787162493915e-05,1.0,8.278898686902332e-05,1.0
1,47,8.135924144880846e-05,1.0,7.98047476564534e-05,1.0
1,48,7.843497471185401e-05,1.0,7.697481279527503e-05,1.0
1,49,7.567325519630685e-05,1.0,7.42938687575848e-05,1.0
1,50,7.306515122763812e-05,1.0,7.174915143488241e-05,1.0
